Handle,Title,Category type,Variant Price
schwarzkopf-igora-royal-fashion-light-hair-color-l-88-red,Schwarzkopf Igora Royal Fashion Light Hair Color L-88 Red,0,895
schwarzkopf-igora-royal-fashion-light-hair-color-l-89-red-voilet,Schwarzkopf Igora Royal Fashion Light Hair Color L-89 Red Voilet,0,975
schwarzkopf-igora-royal-hair-color-0-11-anti-yellow-concentrate,Schwarzkopf Igora Royal Hair Color 0-11 Anti Yellow Concentrate,0,900
schwarzkopf-igora-royal-hair-color-0-22-anti-orange-concentrate,Schwarzkopf Igora Royal Hair Color 0-22 Anti Orange Concentrate,0,925
schwarzkopf-igora-royal-hair-color-0-55-gold-concentrate,Schwarzkopf Igora Royal Hair Color 0-55 Gold Concentrate,0,845
schwarzkopf-igora-royal-hair-color-0-88-red-concentrate,Schwarzkopf Igora Royal Hair Color 0-88 Red Concentrate,0,900
schwarzkopf-igora-royal-hair-color-0-99-violet-concentrate,Schwarzkopf Igora Royal Hair Color 0-99 Violet Concentrate,0,900
schwarzkopf-igora-royal-hair-color-1-0-black,Schwarzkopf Igora Royal Hair Color 1-0 Black,0,875
schwarzkopf-igora-royal-hair-color-3-0-dark-brown,Schwarzkopf Igora Royal Hair Color 3-0 Dark Brown,0,875
schwarzkopf-igora-royal-hair-color-3-68-dark-brown-chocolate-red,Schwarzkopf Igora Royal Hair Color 3-68 Dark Brown Chocolate Red,0,800
schwarzkopf-igora-royal-hair-color-4-0-medium-brown,Schwarzkopf Igora Royal Hair Color 4-0 Medium Brown,0,875
schwarzkopf-igora-royal-hair-color-4-5-medium-brown-gold,Schwarzkopf Igora Royal Hair Color 4-5 Medium Brown Gold,0,875
schwarzkopf-igora-royal-hair-color-4-65-medium-brown-chocolate-gold,Schwarzkopf Igora Royal Hair Color 4-65 Medium Brown Chocolate Gold,0,875
schwarzkopf-igora-royal-hair-color-4-68-medium-brown-chocolate-red,Schwarzkopf Igora Royal Hair Color 4-68 Medium Brown Chocolate Red,0,875
schwarzkopf-igora-royal-hair-color-4-88-medium-brown-red-extra,Schwarzkopf Igora Royal Hair Color 4-88 Medium Brown Red Extra,0,995
schwarzkopf-igora-royal-hair-color-4-99-medium-brown-voilet-extra,Schwarzkopf Igora Royal Hair Color 4-99 Medium Brown Voilet Extra,0,975
schwarzkopf-igora-royal-hair-color-5-00-light-brown-natural-extra,Schwarzkopf Igora Royal Hair Color 5-00 Light Brown Natural Extra,0,875
schwarzkopf-igora-royal-hair-color-5-0-light-brown,Schwarzkopf Igora Royal Hair Color 5-0 Light Brown,0,875
schwarzkopf-igora-royal-hair-color-5-4-light-brown-beige,Schwarzkopf Igora Royal Hair Color 5-4 Light Brown Beige,0,875
schwarzkopf-igora-royal-hair-color-5-57-light-brown-gold-copper,Schwarzkopf Igora Royal Hair Color 5-57 Light Brown Gold Copper,0,875
schwarzkopf-igora-royal-hair-color-5-5-light-brown-gold,Schwarzkopf Igora Royal Hair Color 5-5 Light Brown Gold,0,875
schwarzkopf-igora-royal-hair-color-5-65-light-brown-chocolate-gold,Schwarzkopf Igora Royal Hair Color 5-65 Light Brown Chocolate Gold,0,875
schwarzkopf-igora-royal-hair-color-5-68-light-brown-chocolate-red,Schwarzkopf Igora Royal Hair Color 5-68 Light Brown Chocolate Red,0,875
schwarzkopf-igora-royal-hair-color-5-6-light-brown-chocolate,Schwarzkopf Igora Royal Hair Color 5-6 Light Brown Chocolate,0,875
schwarzkopf-igora-royal-hair-color-5-7-light-brown-copper,Schwarzkopf Igora Royal Hair Color 5-7 Light Brown Copper,0,875
schwarzkopf-igora-royal-hair-color-5-99-light-brown-voilet-extra,Schwarzkopf Igora Royal Hair Color 5-99 Light Brown Voilet Extra,0,895
schwarzkopf-igora-royal-hair-color-6-00-dark-blonde-natural-extra,Schwarzkopf Igora Royal Hair Color 6-00 Dark Blonde Natural Extra,0,875
schwarzkopf-igora-royal-hair-color-6-1-dark-blonde-cendre,Schwarzkopf Igora Royal Hair Color 6-1 Dark Blonde Cendre,0,875
schwarzkopf-igora-royal-hair-color-6-4-dark-blonde-beige,Schwarzkopf Igora Royal Hair Color 6-4 Dark Blonde Beige,0,875
schwarzkopf-igora-royal-hair-color-6-65-dark-blonde-chocolate-gold,Schwarzkopf Igora Royal Hair Color 6-65 Dark Blonde Chocolate Gold,0,875
schwarzkopf-igora-royal-hair-color-6-77-dark-blonde-copper-extra,Schwarzkopf Igora Royal Hair Color 6-77 Dark Blonde Copper Extra,0,800
schwarzkopf-igora-royal-hair-color-6-99-dark-blonde-voilet-extra,Schwarzkopf Igora Royal Hair Color 6-99 Dark Blonde Voilet Extra,0,995
